Kod,Negara
850,Kepulauan Virgin (A.S)                        
854,Burkina Faso                                   
858,Uruguay                                        
860,Uzbekistan                                     
862,Venezuela                                    
876,Kepulauan Wallis dan Futuna                    
882,Samoa                                       
887,Yaman
891,Serbia dan Montenegro                           
894,Zambia                                       
904,Stateless
906,Tiada maklumat 
