KOD_MASCO,SECTION_1D,DESCRIPTION_ENGLISH,DESCRIPTION_MALAY
22113,0,Anggota Petugas Wisma Pegawai,Member of Officers’ Mess Personnel
22114,0,Anggota Pancaragam (TLDM),Member of the Brass Band (RMN)
22115,0,Anggota Teknisyen Marin Kuasa Gerak,Member of Propulsion Marine Technicians
22116,0,Anggota Teknisyen Marin Srimala,Member of the Srimala Marine Technician
22117,0,Anggota Teknisyen Elektrik Senjata Dan Kuasa,Member of Power and Ordinance Electrical Technicians
22118,0,Anggota Teknisyen Elektrik Radio dan Radar,Member of Electrical Radio and Radar Technician
31101,0,Pegawai Cawang Juruterbang Tugas Am,General Duty Pilot Branch Officer
31102,0,Pegawai Cawang Jurumalim,Navigation Branch Officer
31103,0,Pegawai Cawang Kejuruteraan,Engineering Branch Officer
31104,0,Pegawai Cawang Urusetia,Secretariat Branch Officer
31105,0,Pegawai Cawang Materiel,Material Branch Officer
31106,0,Pegawai Cawang Kawalan Lalu Lintas Udara,Air Traffic Control Branch Officer
31107,0,Pegawai Cawang Kawalan Pertahanan Udara,Air Defence Control Branch Officer
31108,0,Pegawai Cawang Bomba,Fire Brigade Branch Officer
31109,0,Pegawai Cawang Jurutera Penerbangan,Flight Engineer Branch Officer
31110,0,Pegawai Cawang Jurusensor Senjata,Weapon Sensor Branch Officer
32101,0,Juruteknik Aeromech,Aeromech Technician
32102,0,Juruteknik Avionic,Avionics Technician
32103,0,Juruteknik Aerospace Support Engineering,Aerospace Support Engineering Technician
32104,0,Juruteknik Aviation Information Technology,Aviation Information Technology Technician
32105,0,Juruteknik Rangka Kapal Terbang,Airframe Technician
32106,0,Juruteknik Enjin,Engine Technician
32107,0,Juruteknik Elektrik,Electrical Technician
32108,0,Juruteknik Instrumen,Instrument Technician
32109,0,Juruteknik Elektron,Electron Technician
32110,0,Juruteknik Senjata,Weapon Technician
32111,0,Juruteknik Alat Bantuan Udara,Aviation Support Equipment Technician
32112,0,Pembantu Statik,Statistical Assistant
32113,0,Juruteknik Permukaan dan Keselamatan,Surface and Safety Technicians
32114,0,Juruteknik Tukang Kayu,Woodworker Technician
32115,0,Kuartermaster Udara,Air Quartermaster
32116,0,Pramugari,Stewardess
32117,0,Juruteknik Pengawasan Udara,Air Surveillance Technician
32118,0,Pembantu Kawalan Trafik Udara,Air Traffic Control Assistant
32119,0,Ahli Bomba,Fire Brigade
32120,0,Juru Katalog (Meterial),Catalog (Meterial)
32121,0,Pemandu,Driver
32122,0,Pembantu Tadbir,Administrative Assistant
32123,0,Pembantu Pertahanan,Provost
32124,0,Jurulatih Jasmani (TUDM),Physical Trainer (RMAF)
32125,0,Anggota Pancaragam (TUDM),Member of the Brass Band (RMAF)
111101,1,Perdana Menteri,Prime Minister
111102,1,Timbalan Perdana Menteri,Deputy Prime Minister
111103,1,Menteri,Minister
111104,1,Timbalan Menteri,Deputy Minister
111105,1,Ahli Parlimen,Members of Parliament
111106,1,Ketua Menteri,Chief Minister
111107,1,Exco Negeri,State Exco
111108,1,Ahli Dewan Undangan Negeri,Member of the State Legislative Assembly
111109,1,Timbalan Ketua Menteri,Deputy Chief Minister
111110,1,Menteri Muda,Junior Minister
111111,1,Menteri Besar,Menteri Besar
111112,1,Yang di-Pertua Dewan Negara,President of The Senate
111113,1,Timbalan Yang di-Pertua Dewan Negara,Deputy Presidents of the Senate
111114,1,Ahli Dewan Negara,Member of the Senate
111115,1,Yang di-Pertua Dewan Rakyat,Speaker of the House Representatives
111116,1,Timbalan Yang di-Pertua Dewan Rakyat,Deputy Speaker of the House Representatives
111201,1,Penyimpan Mohor Besar Raja-Raja,The Keeper of the Rulers' Seal
111202,1,Ketua Setiausaha Negara,Chief Secretary to the Government
111203,1,Ketua Pengarah Perkhidmatan Awam,Director-General of Public Service
111204,1,Peguam Negara,Attorney General
111205,1,Ketua Setiausaha Perbendaharaan,Secretary General of Treasury
111206,1,Ketua Audit Negara,Auditor General
111207,1,Ketua Polis Negara,Inspector-General of Police
111208,1,Ketua Pengarah Kesihatan,Director-General of Health
111209,1,Panglima Angkatan Tentera,Chief of Defence Force
111210,1,Akauntan Negara,Accountant General
111211,1,Gabenor,Governor
111212,1,Ketua Pengarah Kastam,Director-General of Customs
111213,1,Ketua Pengarah Bomba,Director-General of Fire and Rescue
111214,1,Ketua Setiausaha Kementerian,Secretary-General of Ministry
111215,1,Ketua Pengarah Jabatan Kerajaan,Director-General of Government Department
111216,1,"Pengurus Besar, Kerajaan Serantau",Director-General of  Regional Government
111217,1,Ketua Jabatan Kerajaan,Head of Government Department
111218,1,Ketua Perangkawan,Chief Statistician
111219,1,Setiausaha Suruhanjaya,Secretary of Commission
111220,1,Setiausaha Kerajaan Negeri,State Secretary
111221,1,Timbalan Setiausaha Kerajaan Negeri,Deputy State Secretary of Government
111222,1,Ketua Pegawai Eksekutif Badan Berkanun,Chief Executive Officer of Statutory Body
111223,1,Ketua Eksekutif Badan Berkanun,Chief Executive of Statutory Body
111224,1,Ketua Pengarah Badan Berkanun,Director-General of Statutory Body
111225,1,Pengarah Besar Badan Berkanun,Director of Statutory Body
111226,1,Duta,Ambassador
111227,1,Konsul Besar,Consul-General
111228,1,Pesuruhjaya Tinggi Kerajaan,High Commissioner of Government
111229,1,Setiausaha Kedutaan,Secretary of Embassy
111230,1,Datuk Bandar,Mayor
111231,1,Yang Dipertua Pihak Berkuasa Tempatan,President of Local Authority
111232,1,Setiausaha Dewan Negara,Secretary of the Senate
111233,1,Setiausaha Dewan Rakyat,Secretary of the House of Representatives
111234,1,Pesuruhjaya Polis,Police Commissioner
111235,1,Ketua Pentadbir Parlimen,Chief Administrator Parliament
111236,1,Ketua Pegawai Eksekutif Pos Malaysia,Chief Executive Officer Pos Malaysia
111237,1,Timbalan Ketua Setiausaha Pentadbiran Kerajaan,"Deputy Secretary-General, Government Administration"
111238,1,Ketua Bahagian/Seksyen/Unit ,Head of Division/Section/Unit
111239,1,Laksamana Madya Maritim,Vice Admiral Maritime
111240,1,Laksamana Muda Maritim,Rear Admiral Maritime
111241,1,Timbalan Ketua Polis Negara,Deputy Inspector General of Police
111242,1,Timbalan Pesuruhjaya Polis,Deputy Commissioner of Police
111243,1,Atase,Attache
111301,1,Penghulu Gred NP29,Headman Grade NP29
111302,1,Demang,Demang
111303,1,Penggawa,Penggawa
111304,1,Ketua Kampung,Village Head
111305,1,Tok Sidang,Tok Sidang
111306,1,Ketua Anak Negeri,Native Chief
111307,1,Tok Batin,Tok Batin
111308,1,Kapitan,Kapitan
111309,1,Tuai Rumah,Tuai Rumah
111310,1,Ketua Adat,Traditional Chief
111311,1,Ketua Kampung Baru,New Village Head
111312,1,Undang,Undang
111313,1,Luak,Luak
111314,1,Perut,Perut
111315,1,Buapak,Buapak
111316,1,Orang Besar Berempat,Orang Besar Berempat
111317,1,Orang Besar Berlapan,Orang Besar Berlapan
111318,1,Orang Besar Berenam Belas,Orang Besar Berenam Belas
111319,1,Orang Besar Bertiga Puluh Dua,Orang Besar Bertiga Puluh Dua
111401,1,Presiden Parti Politik,President of Political Party
111402,1,Presiden Persekutuan Majikan-Majikan,President of Employers’ Federation
111403,1,Presiden Kongres Kesatuan Sekerja,President of Trades Union Congress
111404,1,Presiden Kongres Kesatuan Pekerja-Pekerja di dalam Perkhidmatan Awam,President of Congress of Union of Employees in the Public And Civil Services
111405,1,Ketua Setiausaha Organisasi Berkepentingan Khas,"Secretary-General, Special Interest Organization"
111406,1,Ketua Setiausaha Organisasi Bulan Sabit Merah,"Secretary-General, Red Crescent Organization"
111407,1,Ketua Setiausaha Organisasi Hak Manusia,"Secretary-General, Human Rights Organization"
111408,1,Ketua Setiausaha Organisasi Kemanusiaan,"Secretary-General, Humanitarian Organization"
111409,1,Ketua Setiausaha Organisasi Palang Merah,"Secretary-General, Red Cross Organization"
111410,1,Ketua Setiausaha Organisasi Perlindungan Alam Sekitar,"Secretary-General, Environmental Protection Organization"
111411,1,Ketua Setiausaha Organisasi Perlindungan Hidupan Liar,"Secretary-General, Wildlife Protection Organization"
111412,1,Pegawai Kanan Organisasi Berkepentingan Khas,Senior Officials of Special Interest Organization
111413,1,Pegawai Kanan Organisasi Kemanusiaan,Senior Officials of Humanitarian Organization
112101,1,Ketua Pegawai Eksekutif (CEO),Chief Executive Officer
112102,1,Ketua Pegawai Operasi,Chief Operating Officer
112103,1,Ketua Pegawai Perundangan,Chief Legal Officer
112104,1,Ketua Pegawai Teknikal,Chief Technical Officer
112105,1,Pengarah Eksekutif,Executive Director
112106,1,Pengarah Syarikat,Company Director
112107,1,Timbalan Pengarah Eksekutif,Deputy Executive Director
112108,1,Pengarah Urusan,Managing Director
112109,1,Pengarah Perusahaan,Enterprise Director
112110,1,Pengerusi Perusahaan,Enterprise Chairman
112111,1,Pengurus Lapangan Terbang,Airport Manager
112112,1,Pengurus Pelabuhan,Harbour Manager
112113,1,Pengurus Penyiaran Radio dan Televisyen,"Radio and Television Manager, Broadcasting,"
112114,1,Pengurus Program Radio dan Televisyen,"Radio & Television Manager, Programme"
112115,1,Ketua Pengarah Perusahaan,Director-General of Enterprise
112116,1,Ketua Eksekutif Organisasi,Chief Executive of Organization
112117,1,Ketua Pengarah Organisasi,Director-General of Organization
112118,1,Pengarah Urusan Organisasi,Managing-Director of Organization
112119,1,Pengarah Organisasi,Director of Organization
112120,1,Pengerusi Organisasi,Chairperson of Organization
112121,1,Presiden Organisasi,President of Organization
112122,1,Pengurus,Manager
112123,1,Pengurus Besar,General Manager
112124,1,Pengurus Operasi,Operations Manager
112125,1,Pengarah,Director
112126,1,Pentadbir,Administrator
112127,1,Presiden,President
112128,1,Pengurus Teknikal,Technical Manager
112129,1,Pengurus Gred P2,Manager Grade P2
112130,1,Pengurus Kanan Gred P1,Senior Manager Grade P1
112131,1,Penolong Pengurus Gred P3,Assistant Manager Grade P3
112132,1,Ketua Operasi,Head of Operation
112133,1,Penolong Pengurus,Assistant Manager
112134,1,Penolong Ketua Pegawai Operasi,Assistant Chief Operating Officer
112135,1,Pengarah Teknikal,Technical Director
112136,1,Penolong Naib Presiden ,Assistant Vice President
112137,1,Timbalan Ketua Pegawai Eksekutif (CEO),Deputy Chief Executive Officer (CEO)
121101,1,Ketua Pegawai Kewangan,Chief Financial Officer 
121102,1,Pengurus Kewangan,Finance Manager
121103,1,Pengurus Akaun,Account Manager
121104,1,Pengurus Bajet,Budget Manager
121105,1,Pengurus Audit,Audit Manager
121106,1,Pengurus Audit dan Pengurusan Risiko,Audit and Risk Management Manager
121107,1,Pengurus Kredit,Credit Manager
121108,1,Pengurus Insurans,Insurance Manager
121109,1,Pengurus Dana,Fund Manager
121110,1,Pengurus Perbendaharaan,Treasury Manager
121111,1,Pengurus Kewangan dan Institusi,Financial and Institution Manager
121112,1,Pengurus Perbelanjaan,Expenditure Manager
121113,1,Pengurus Pemantauan Transaksi,Transaction Monitoring Manager
121114,1,Pengurus Cukai,Tax Manager
121115,1,Pengurus Tuntutan,Claim Manager
121116,1,Pengarah Kewangan,Finance Director
121117,1,Ketua Pengawal Kewangan,Chief Financial Controller
121118,1,Pengurus Teknikal (Perakaunan),Technical Manager (Accounting)
121119,1,Pengurus Risiko,Risk Manager
121120,1,Ketua Perolehan,Head of Procurement
121121,1,Pengurus Perolehan,Procurement Manager
121122,1,Pengurus Pemodelan Risiko,Risk Modelling Manager
121123,1,Pengurus Penilaian Aktuari,Actuarial Valuation Manager
121124,1,Pengurus Pembidaan,Bidding Manager
121125,1,Pengurus Audit Tenaga,Energy Audit Manager
121126,1,Penolong Pengurus Audit Tenaga,Energy Audit Assistant Manager
121127,1,Pengurus Harga Pindahan,Transfer Pricing Manager
121128,1,Ketua Pengurusan Penajajaminan dan Portfolio,Head of Underwriting dan Portfolio Management
121129,1,Ketua Tuntutan,Head of Claims
121130,1,Ketua Pasukan Rekod Melapor (RTR / R2),Record To Report (RTR/R2R) Team Lead
121201,1,Ketua Pegawai Sumber Manusia,Chief Human Resources Officer
121202,1,Pengurus Sumber Manusia,Human Resource Manager
121203,1,Pengurus Latihan,Training Manager
121204,1,Pengurus Perhubungan Perindustrian,Industrial Relations Manager
121205,1,Pengurus Kesihatan dan Keselamatan Pekerjaan,Occupational Safety and Health Manager
121206,1,Pengurus Personel,Personnel Manager
121207,1,Pengurus Perekrutan,Recruitment Manager
121208,1,Pengurus Keselamatan Pekerjaan,Occupational Safety Manager
121209,1,Pengurus Pembangunan Pembelajaran dan Organisasi,Learning and Organization Development Manager
121210,1,Pengurus Pampasan dan Faedah,Compensation and Benefits Manager
121211,1,Pengurus Bakat dan Prestasi Organisasi,Talent and Organization Performance Manager
121212,1,Pengurus Latihan Industri Halal,"Training Manager, Halal Industry"
121213,1,"Pengurus Kesihatan, Keselamatan, Alam Sekitar & Kualiti","Health, Safety, Environment & Quality Manager"
121301,1,Pengurus Dasar dan Perancangan,Policy and Planning Manager
121302,1,Pengurus Perancangan Strategik,Strategic Planning Manager
121303,1,Pengurus Perancangan Korporat,Corporate Planning Manager
121304,1,Pengurus Dasar dan Penyelidikan,Policy and Research Manager
121305,1,Pengurus Perancangan Projek,Project Planning Manager
121306,1,Ketua Projek,Project Leader
121307,1,Pengurus Program,Programme Manager
121308,1,Pengurus Hal Ehwal Pengaturan,Regulatory Affairs Manager
121309,1,Pengurus Perancangan,Planning Manager
121401,1,Ketua Pegawai Pematuhan,Chief Compliance Officer
121402,1,Pengurus Pengeluaran,Production Manager
121403,1,Pengurus Pengeluaran dan Operasi Perniagaan,Production and Business Operation Manager
121404,1,Pengurus Perkhidmatan Pembangunan Perniagaan,Business Services Development Manager
121405,1,Perancang Pengeluaran,Production Planner
121406,1,Pengawal Pengeluaran,Production Controller
121407,1,Pengurus Pembangunan Perniagaan,Business Development Manager
121408,1,Pengurus Pematuhan,Compliance Manager
121409,1,Pengurus Fesyen dan Pakaian,Fashion and Garment Manager
121410,1,Pengurus Pematuhan Halal,Halal Compliance Manager
121411,1,Pengurus Rantaian Bekalan,Supply Chain Manager
121412,1,Pengurus Pembangunan Perniagaan dan Produk,Business and Product Development Manager
121413,1,Pengurus Kemampanan,Sustainability Manager
121414,1,Pengurus Projek,Project Manager
121415,1,Penolong Pengurus Projek,Assistant Project Manager
121416,1,Pengurus Teknologi,Technology Manager
121417,1,Ketua Pegawai Perniagaan,Chief Business Officer
121418,1,Perancang Pengilangan,Manufacturing Planner
121419,1,Perancang Operasi,Operation Planner
121501,1,Pengurus Pentadbiran,Administrative Manager
121502,1,Pengurus Perkhidmatan Pentadbiran,Administrative Services Manager
121503,1,Ketua Pembangunan Aset,Asset Development Lead
121504,1,Pengurus Prasarana,Infrastructure Manager
121505,1,Pengurus Perkhidmatan Korporat,Corporate Services Manager
121506,1,Ketua Komunikasi Korporat,Head of Corporate Communications
121507,1,Ketua Pegawai Tadbir,Chief Administrative Officer
121508,1,Ketua Pentadbir Perniagaan,Chief Business Administrator
121509,1,Pengurus Pejabat Maya ,Virtual Office Manager
121601,1,Pengurus Kawalan Kualiti,Quality Control Manager
121602,1,Pengurus Jaminan Kualiti,Quality Assurance Manager
121603,1,"Pengurus Jaminan Kualiti, Pengilangan Makanan Halal","Quality Assurance Manager, Halal Food Manufacturing"
121604,1,"Pengurus Jaminan Kualiti, Pemprosesan Daging Halal","Quality Assurance Manager, Halal Meat Processing"
122101,1,Ketua Pegawai Pemasaran,Chief Marketing Officer
122102,1,Pengurus Jualan,Sales Manager
122103,1,Pengurus Jualan dan Pemasaran,Sales and Marketing Manager
122104,1,Pengurus Pemasaran,Marketing Manager
122105,1,Pengurus Promosi Jualan,Sales Promotion Manager
122106,1,Pengurus Penyelidikan Pasaran,Market Research Manager
122107,1,Pengurus Produk,Product Manager
122108,1,Pengurus Jenama,Brand Manager
122109,1,Pengurus Pasar Raya,Supermarket Manager
122110,1,Pengurus Pusat Beli-Belah,Shopping Centre Manager
122111,1,Pengurus Runcit,Outlet Manager
122112,1,Pengurus Rakan Kongsi Cawangan,Channel Partner Manager
122113,1,Pengarah Jualan,Sales Director
122114,1,Pengurus Cawangan,Branch Manager
122115,1,Penolong Pengurus Cawangan,Assistant Branch Manager
122116,1,Pengurus Pemasaran Digital,Digital Marketing Manager
122117,1,Penolong Pengurus Pemasaran Digital,Digital Marketing Assistant Manager
122118,1,Penolong Pengurus Pemasaran,Marketing Assistant Manager
122119,1,Pengurus Pemasaran dan Pengoptimuman Enjin Carian (SEO),Marketing and Search Engine Optimization (SEO) Manager
122201,1,Pengurus Pengiklanan,Advertising Manager
122202,1,Pengurus Hal Ehwal Am,General Affairs Manager
122203,1,Pengurus Komunikasi,Communications Manager
122204,1,Pengurus Perhubungan Awam,Public Relations Manager
122205,1,Pengurus Pameran,Display Manager
122206,1,Pengurus Khidmat Pelanggan,Customer Service Manager
122207,1,Pengurus Pusat Perhubungan,Contact Centre Manager
122208,1,Pengurus Pusat Panggilan,Call Centre Manager
122209,1,Pengurus Operasi Pusat Panggilan,Call Centre Operation Manager
122210,1,Pengurus Ketua Pusat Panggilan,Contact Centre Team Leader Manager
122211,1,Ketua Pasukan Pelanggan,Customer Team Leader
122212,1,Pengurus Perhubungan Pelanggan,Customer Relationship Manager
122213,1,Pengurus Media Sosial,Social Media Manager
122214,1,Pengurus Pelancongan,Tour Manager
122215,1,Pengurus Majlis,Event Manager
122216,1,Pengurus Tinjauan Soal Selidik,Survey Manager Questionnaire
122301,1,Pengurus Penyelidikan dan Pembangunan,Research and Development Manager
122302,1,Pengurus Pembangunan Produk,Product Development Manager
122303,1,Pengurus Penyelidikan,Research Manager
122304,1,"Pengurus Penyelidikan dan Pembangunan, Pengilangan Makanan Halal","Research and Development Manager, Halal Food Manufacturing"
122305,1,"Pengurus Penyelidikan dan Pembangunan, Industri Halal","Research and Development Manager, Halal Industry"
131101,1,Pengurus Taman/Ladang Gred G41,Park/Estate Manager Grade G41
131102,1,Pengurus Perhutanan,Forestry Manager
131103,1,Pengurus Ladang,Plantation Manager
131104,1,Pengurus Hortikultur,Horticulture Manager
131105,1,Pengurus Pengeluaran dan Operasi Pertanian,"Production and Operation Manager, Agricultural"
131106,1,Pengurus Pertanian,Agricultural Manager
131107,1,Pengurus Pengeluaran dan Operasi Penternakan,"Production and Operation Manager, Livestock"
131108,1,Pengurus Penternakan,Livestock Manager
131109,1,Pengurus Estet,Estate Manager
131110,1,Pengurus Pengeluaran dan Operasi Perhutanan,"Production and Operation Manager, Forestry"
131111,1,Pengurus Veterinar,Veterinary Manager
131112,1,"Pengurus, Rumah Sembelihan Halal","Manager, Halal Slaughterhouse"
131113,1,Pengurus Pengeluaran Ternakan Halal,"Manager, Halal Livestock Production"
131114,1,"Pengurus Padang, Rumput","Field Manager, Grass"
131115,1,Pengurus Penetasan,Hatchery Manager
131116,1,Pengurus Sains Semulajadi (Pertanian),Natural Science Manager (Agricultural)
131201,1,Pengurus Perikanan,Fishery Manager
131202,1,Pengurus Pengeluaran dan Operasi Perikanan,"Production and Operation Manager, Fishery"
131203,1,Pengurus Operasi Akuakultur,Aquaculture Production Manager
131204,1,Pengurus Operasi Penangkapan Ikan,Fishing Operations Manager
131205,1,Pengurus Pukat Tunda,Trawler Manager
132101,1,Pengurus Pembuatan,Manufacturing Manager
132102,1,Pengurus Pengeluaran dan Operasi Pembuatan,"Production and Operation Manager, Manufacturing"
132103,1,Pengurus Kilang,Factory Manager
132104,1,Pengurus Elektrik,Electrical Manager
132105,1,Pengurus Tenaga,Energy Manager
132106,1,Pengilang,Manufacturer
132107,1,"Pengurus Pengeluaran, Pemprosesan Makanan","Production Manager, Food Processing"
132108,1,Pengurus Pembuatan Badan Kapal,Ship Hull Manager
132109,1,Pengurus Mekanikal,Mechanical Manager
132110,1,Pengurus Kimpalan,Welding Manager
132111,1,Pengurus Kilang Minyak ,Palm Oil Mill Manager
132112,1,"Pengurus, Pengilangan Makanan Halal","Manager, Halal Food Manufacturing"
132113,1,"Pengurus Pengeluaran, Pemprosesan Daging Halal","Production Manager, Halal Meat Processing"
132114,1,Pengurus Penyelenggaraan,Maintenance Manager
132115,1,Pengurus Loji Penjanaan Tenaga Biomas (BEGP),Biomass Energy Generation Plant (BEGP) Manager
132116,1,Penolong Pengurus Loji Penjanaan Tenaga Biomas (BEGP),Biomass Energy Generation Plant (BEG Assistant Manager
132117,1,Pengurus Operasi Loji Tapak Pelupusan Gas,Landfill Gas Plant Operation Manager
132118,1,Pengurus Loji Tapak Pelupusan Gas,Landfill Gas Plant Manager
132119,1,Pengurus Operasi Loji Anaerobic Digester Biogas,Anaerobic Digester Biogas Plant Operation Manager
132120,1,Pengurus Loji Anaerobic Digester Biogas,Anaerobic Digester Biogas Plant Management
132121,1,Pengurus Pengeluaran Photovoltaic,Photovoltaic Production Manager
132122,1,Pengeluar Tenaga Gelombang,Wave Energy Producer
132123,1,Perancang Penggunaan Bahan,Material Utilization Planner
132124,1,Perancang Penggunaan Mesin dan Peralatan,Machine and Equipment Utilization Planner
132125,1,Pengurus Operasi Pembuatan,Manufacturing Operations Manager
132126,1,Pengurus Loji Penjanaan Kuasa,Power Generation Plant Manager
132127,1,Pengurus Stesen Kuasa,Power Station Manager
